epoch,accuracy,loss,total_0-1_loss,val_accuracy,val_loss,val_total_0-1_loss
0,0.9579913020133972,0.11094709485769272,174.0,0.9746192693710327,0.056649863719940186,15.0
1,0.9775470495223999,0.06179702654480934,93.0,0.9780033826828003,0.036666739732027054,13.0
2,0.9780299663543701,0.05801345780491829,91.0,0.9915397763252258,0.028896309435367584,5.0
3,0.9826170802116394,0.05126700922846794,72.0,0.989847719669342,0.03446810692548752,6.0
4,0.9804442524909973,0.0526280552148819,81.0,0.9881556630134583,0.02852921187877655,7.0
5,0.9838242530822754,0.048577383160591125,67.0,0.9915397763252258,0.024454904720187187,5.0
6,0.9823756814002991,0.04988730698823929,73.0,0.9915397763252258,0.025082241743803024,5.0
7,0.9830999374389648,0.04552998021245003,70.0,0.989847719669342,0.024457041174173355,6.0
8,0.9835827946662903,0.04529157280921936,68.0,0.9932318329811096,0.022300904616713524,4.0
9,0.9869627952575684,0.039232928305864334,54.0,0.9915397763252258,0.023938961327075958,5.0
10,0.9840656518936157,0.044695429503917694,66.0,0.9966158866882324,0.02228705771267414,2.0
