epoch,accuracy,loss,total_0-1_loss,val_accuracy,val_loss,val_total_0-1_loss
0,0.6795521974563599,0.5914034247398376,1517.0,0.7377326488494873,0.5641030669212341,155.0
1,0.7959442138671875,0.4682014584541321,966.0,0.8544839024543762,0.37539729475975037,86.0
2,0.8187578916549683,0.42067956924438477,858.0,0.7783417701721191,0.4997020959854126,131.0
3,0.8253062963485718,0.39952802658081055,827.0,0.8375634551048279,0.3729482591152191,96.0
4,0.8407266736030579,0.3675253093242645,754.0,0.8967850804328918,0.2724415361881256,61.0
5,0.8610054850578308,0.32586005330085754,658.0,0.8967850804328918,0.23537766933441162,61.0
6,0.8654415011405945,0.30173712968826294,637.0,0.8866328001022339,0.24947673082351685,67.0
7,0.8831854462623596,0.27673041820526123,553.0,0.9153976440429688,0.213608518242836,50.0
8,0.8840304017066956,0.28292253613471985,549.0,0.913705587387085,0.2317209243774414,51.0
9,0.8988170623779297,0.25054845213890076,479.0,0.9153976440429688,0.2142518162727356,50.0
10,0.8964934349060059,0.2548404037952423,490.0,0.9187816977500916,0.19893839955329895,48.0
11,0.9011406898498535,0.2336597442626953,468.0,0.913705587387085,0.18870119750499725,51.0
12,0.8998732566833496,0.23002660274505615,474.0,0.9238578677177429,0.18175294995307922,45.0
13,0.9036755561828613,0.22685563564300537,456.0,0.9221658110618591,0.2012239396572113,46.0
14,0.9119138121604919,0.21413372457027435,417.0,0.9323180913925171,0.1809808760881424,40.0
15,0.910857617855072,0.21170279383659363,422.0,0.9238578677177429,0.18377523124217987,45.0
16,0.9165610671043396,0.2029656618833542,395.0,0.9306260347366333,0.1799921840429306,41.0
17,0.9201520681381226,0.19830739498138428,378.0,0.9357022047042847,0.15742099285125732,38.0
18,0.9207857847213745,0.18926653265953064,375.0,0.9289340376853943,0.17919687926769257,42.0
19,0.9247993230819702,0.18310347199440002,356.0,0.9272419810295105,0.1793159395456314,43.0
20,0.9334600567817688,0.17065949738025665,315.0,0.9153976440429688,0.20513617992401123,50.0
21,0.9267004728317261,0.18143950402736664,347.0,0.9170897006988525,0.18049995601177216,49.0
22,0.928390383720398,0.17260998487472534,339.0,0.9323180913925171,0.158119797706604,40.0
